id,word,explanation,due,memory_state,scheduled_days,last_review
62,食堂,,2025-11-17T01:41:04.275331+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:41:04.275331+00:00
63,宛先,收件人姓名/地址,2026-01-08T05:11:13.115629+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:11:13.115629+00:00
64,旅先,旅途,2026-01-08T05:12:04.556547+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:12:04.556547+00:00
65,木造,,2025-11-17T01:40:01.560253+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:01.560253+00:00
66,属する,,2025-11-17T01:28:21.965634+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:28:21.965634+00:00
67,手帳,,2025-11-17T01:47:46.447646+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:46.447646+00:00
68,近々,最近/常常,2025-08-17T00:44:08.012549+00:00,"{""stability"": 41.37625, ""difficulty"": 7.0783057}",41,2025-07-07T00:44:08.012549+00:00
69,本年,,2025-11-17T01:44:25.800612+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:44:25.800612+00:00
70,中指,,2025-11-17T01:33:49.546757+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:33:49.546757+00:00
71,住所,,2025-11-17T01:38:43.140909+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:38:43.140909+00:00
72,就職,,2025-11-17T01:39:05.509013+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:39:05.509013+00:00
73,周辺,,2025-11-17T01:50:22.201316+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:50:22.201316+00:00
74,日当たり,向阳(处),2025-12-31T05:19:24.925622+00:00,"{""stability"": 147.6131, ""difficulty"": 5.8592463}",148,2025-08-05T05:19:24.925622+00:00
75,貧しい,,2026-01-08T05:12:30.641904+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:12:30.641904+00:00
76,スクール,,2025-11-17T01:40:21.185333+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:21.185333+00:00
77,順,,2025-11-17T01:54:21.254202+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:54:21.254202+00:00
78,梅雨,,2026-07-24T02:26:41.924585+00:00,"{""stability"": 356.68445, ""difficulty"": 4.4532113}",357,2025-08-01T02:26:41.924585+00:00
79,現実,,2025-11-17T01:48:56.229830+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:48:56.229830+00:00
80,これ程,,2025-11-17T01:52:07.088287+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:52:07.088287+00:00
81,種,,2025-11-17T01:46:22.420852+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:46:22.420852+00:00
82,持参,,2025-11-17T01:41:33.108102+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:41:33.108102+00:00
83,潰す,,2025-09-15T05:11:06.931539+00:00,"{""stability"": 83.39886, ""difficulty"": 4.5050673}",83,2025-06-24T05:11:06.931539+00:00
84,集中,,2025-11-17T01:35:11.330131+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:35:11.330131+00:00
85,偉い,,2025-11-17T01:47:23.902918+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:23.902918+00:00
86,濡らす,,2025-11-17T01:49:35.395861+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:35.395861+00:00
87,端,,2025-11-17T01:47:40.722577+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:40.722577+00:00
88,退屈,,2026-01-08T05:11:31.642151+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:11:31.642151+00:00
89,引き分け,,2026-01-08T05:12:13.931249+00:00,"{""stability"": 198.0218, ""difficulty"": 3.6184807}",198,2025-06-24T05:12:13.931249+00:00
90,稼ぐ,[他動1]赢得/挣到,2025-11-17T01:47:00.001811+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:47:00.001811+00:00
91,しつこい,,2025-09-15T05:12:45.305316+00:00,"{""stability"": 83.39886, ""difficulty"": 4.5050673}",83,2025-06-24T05:12:45.305316+00:00
92,戦い,,2025-11-17T01:49:24.178129+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:24.178129+00:00
93,戦う,,2025-11-17T01:49:18.307113+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:49:18.307113+00:00
94,暴れる,,2025-11-17T01:35:16.013449+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:35:16.013449+00:00
95,手元,,2025-11-17T01:40:55.449479+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:40:55.449479+00:00
96,強み,,2025-11-17T01:51:09.618411+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:51:09.618411+00:00
97,おしまい,,2025-11-17T01:29:07.960359+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:29:07.960359+00:00
98,コマーシャル,,2025-11-17T01:34:45.066388+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:34:45.066388+00:00
99,感覚,,2025-11-17T01:37:46.789145+00:00,"{""stability"": 157.78712, ""difficulty"": 2.1301212}",158,2025-06-12T01:37:46.789145+00:00
